skip	dateOrder	dateShipment	dateCelebration	instagram	name	phoneNumber	city	novaPoshta	paymentDate	sentDate	description	paymentCheck	sentCheck
21	2017-07-11	2017-07-11		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-11	2017-07-11		1	1
22	2017-07-12	2017-07-12		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-12	2017-07-12		1	1
23	2017-07-14	2017-07-14		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-14	2017-07-14		1	1
24	2017-07-14	2017-07-14		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-14	2017-07-14		1	1
25	2017-07-21	2017-07-21		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-21	2017-07-21		1	1
26	2017-07-16	2017-07-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-16	2017-07-16		1	1
27	2017-07-16	2017-07-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-16	2017-07-16		1	1
28	2017-07-17	2017-07-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-17	2017-07-17		1	1
29	2017-07-17	2017-07-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-17	2017-07-17		1	1
30	2017-07-18	2017-07-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-18	2017-07-18		1	1
31	2017-07-18	2017-07-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-18	2017-07-18		1	1
32	2017-07-19	2017-07-19		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-19	2017-07-19		1	1
33	2017-07-20	2017-07-20		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-20	2017-07-20		1	1
34	2017-07-20	2017-07-20		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-20	2017-07-20		1	1
35	2017-07-20	2017-07-20		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-20	2017-07-20		1	1
36	2017-07-20	2017-07-20		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-20	2017-07-20		1	1
37	2017-07-22	2017-07-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-22	2017-07-22		1	1
38	2017-07-23	2017-07-23		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-23	2017-07-23		1	1
39	2017-07-25	2017-07-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-25	2017-07-25		1	1
40	2017-07-25	2017-07-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-25	2017-07-25		1	1
41	2017-07-25	2017-07-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-25	2017-07-25		1	1
42	2017-07-27	2017-07-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-27	2017-07-27		1	1
43	2017-07-27	2017-07-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-27	2017-07-27		1	1
44	2017-07-27	2017-07-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-27	2017-07-27		1	1
45	2017-07-28	2017-07-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-28	2017-07-28		1	1
46	2017-07-29	2017-07-29		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-29	2017-07-29		1	1
47	2017-07-29	2017-07-29		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-29	2017-07-29		1	1
48	2017-07-30	2017-08-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-16	2017-08-16		1	1
49	2017-07-31	2017-07-31		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-31	2017-07-31		1	1
50	2017-07-31	2017-07-31		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-31	2017-07-31		1	1
51	2017-07-31	2017-07-31		zaglushka	Заглушка	80620000000	Донецк	1	2017-07-31	2017-07-31		1	1
52	2017-08-01	2017-08-01		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-01	2017-08-01		1	1
53	2017-08-01	2017-08-01		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-01	2017-08-01		1	1
54	2017-08-02	2017-08-02		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-02	2017-08-02		1	1
55	2017-08-02	2017-08-02		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-02	2017-08-02		1	1
56	2017-08-02	2017-08-02		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-02	2017-08-02		1	1
57	2017-08-02	2017-08-02		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-02	2017-08-02		1	1
58	2017-08-02	2017-08-02		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-02	2017-08-02		1	1
59	2017-08-02	2017-08-02		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-02	2017-08-02		1	1
60	2017-08-03	2017-08-03		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-03	2017-08-03		1	1
61	2017-08-03	2017-08-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-10	2017-08-10		1	1
62	2017-08-05	2017-08-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-05	2017-08-05		1	1
63	2017-08-08	2017-08-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-08	2017-08-08		1	1
64	2017-08-08	2017-08-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-08	2017-08-08		1	1
65	2017-08-09	2017-08-09		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-09	2017-08-09		1	1
66	2017-08-10	2017-08-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-10	2017-08-10		1	1
67	2017-08-11	2017-08-11		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-11	2017-08-11		1	1
68	2017-08-13	2017-08-13		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-13	2017-08-13		1	1
69	2017-08-12	2017-08-12		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-12	2017-08-12		1	1
70	2017-08-13	2017-08-13		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-13	2017-08-13		1	1
71	2017-08-13	2017-08-13		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-13	2017-08-13		1	1
72	2017-08-14	2017-08-14		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-14	2017-08-14		1	1
73	2017-08-14	2017-08-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-17	2017-08-17		1	1
74	2017-08-14	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
75	2017-08-14	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
76	2017-08-14	2017-08-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-18	2017-08-18		1	1
77	2017-08-14	2017-08-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-17	2017-08-17		1	1
78	2017-08-15	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
79	2017-08-15	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
80	2017-08-15	2017-08-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-18	2017-08-18		1	1
81	2017-08-15	2017-08-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-18	2017-08-18		1	1
82	2017-08-16	2017-08-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-18	2017-08-18		1	1
83	2017-08-16	2017-08-21		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-21	2017-08-21		1	1
84	2017-08-16	2017-08-21		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-21	2017-08-21		1	1
85	2017-08-18	2017-08-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-28	2017-08-28		1	1
86	2017-08-18	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
87	2017-08-18	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
88	2017-08-18	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
89	2017-08-19	2017-08-29		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-29	2017-08-29		1	1
90	2017-08-19	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
91	2017-08-20	2017-09-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-05	2017-09-05		1	1
92	2017-08-21	2017-09-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-05	2017-09-05		1	1
93	2017-08-21	2017-08-22		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-22	2017-08-22		1	1
94	2017-08-22	2017-08-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-25	2017-08-25		1	1
95	2017-08-22	2017-08-23		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-23	2017-08-23		1	1
96	2017-08-22	2017-08-23		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-23	2017-08-23		1	1
97	2017-08-23	2017-08-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-27	2017-08-27		1	1
98	2017-08-23	2017-08-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-27	2017-08-27		1	1
99	2017-08-24	2017-08-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-25	2017-08-25		1	1
100	2017-08-24	2017-08-24		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-24	2017-08-24		1	1
101	2017-08-25	2017-08-27		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-27	2017-08-27		1	1
102	2017-08-25	2017-08-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-28	2017-08-28		1	1
103	2017-08-25	2017-08-29		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-29	2017-08-29		1	1
104	2017-08-27	2017-08-29		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-29	2017-08-29		1	1
105	2017-08-27	2017-08-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-28	2017-08-28		1	1
106	2017-08-28	2017-08-29		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-29	2017-08-29		1	1
107	2017-08-27	2017-09-01		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-01	2017-09-01		1	1
108	2017-08-29	2017-09-03		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-03	2017-09-03		1	1
109	2017-08-29	2017-09-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-08	2017-09-08		1	1
110	2017-08-29	2017-09-01		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-01	2017-09-01		1	1
111	2017-08-30	2017-08-31		zaglushka	Заглушка	80620000000	Донецк	1	2017-08-31	2017-08-31		1	1
112	2017-08-30	2017-09-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-08	2017-09-08		1	1
113	2017-08-30	2017-09-01		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-01	2017-09-01		1	1
114	2017-08-31	2017-09-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-05	2017-09-05		1	1
115	2017-09-02	2017-09-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-08	2017-09-08		1	1
116	2017-09-01	2017-09-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-04	2017-09-04		1	1
117	2017-09-03	2017-09-06		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-06	2017-09-06		1	1
118	2017-09-04	2017-09-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-05	2017-09-05		1	1
119	2017-09-05	2017-09-06		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-06	2017-09-06		1	1
120	2017-09-19	2017-09-19		zaglushka	Заглушка	80620000000	Донецк	1	2017-09-19	2017-09-19		1	1
121	2017-09-28	2017-10-03		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-03	2017-10-03		1	1
122	2017-10-01	2017-10-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-04	2017-10-04		1	1
123	2017-10-01	2017-10-03		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-03	2017-10-03		1	1
124	2017-10-01	2017-10-11		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-11	2017-10-11		1	1
125	2017-10-01	2017-10-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-04	2017-10-04		1	1
126	2017-10-02	2017-10-03		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-03	2017-10-03		1	1
127	2017-10-02	2017-10-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-04	2017-10-04		1	1
128	2017-10-05	2017-10-06		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-06	2017-10-06		1	1
129	2017-10-06	2017-10-09		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-09	2017-10-09		1	1
130	2017-10-07	2017-10-09		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-09	2017-10-09		1	1
131	2017-10-07	2017-10-09		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-09	2017-10-09		1	1
132	2017-10-09	2017-10-19		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-19	2017-10-19		1	1
133	2017-10-09	2017-10-12		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-12	2017-10-12		1	1
134	2017-10-10	2017-10-13		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-13	2017-10-13		1	1
135	2017-10-11	2017-10-14		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-14	2017-10-14		1	1
136	2017-10-12	2017-10-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-16	2017-10-16		1	1
137	2017-10-12	2017-10-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-16	2017-10-16		1	1
138	2017-10-15	2017-10-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-16	2017-10-16		1	1
139	2017-10-16	2017-10-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-17	2017-10-17		1	1
140	2017-10-16	2017-10-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-17	2017-10-17		1	1
141	2017-10-17	2017-10-20		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-20	2017-10-20		1	1
142	2017-10-23	2017-10-24		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-24	2017-10-24		1	1
143	2017-10-23	2017-10-26		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-26	2017-10-26		1	1
144	2017-10-24	2017-10-25		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-25	2017-10-25		1	1
145	2017-10-27	2017-10-30		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-30	2017-10-30		1	1
146	2017-10-26	2017-11-01		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-01	2017-11-01		1	1
147	2017-10-29	2017-10-30		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-30	2017-10-30		1	1
148	2017-10-25	2017-10-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-10-10	2017-10-10		1	1
149	2017-10-31	2017-11-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-04	2017-11-04		1	1
150	2017-11-02	2017-11-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-04	2017-11-04		1	1
151	2017-11-04	2017-11-06		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-06	2017-11-06		1	1
152	2017-11-07	2017-11-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-08	2017-11-08		1	1
153	2017-11-07	2017-11-08		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-08	2017-11-08		1	1
154	2017-11-09	2017-11-11		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-11	2017-11-11		1	1
155	2017-11-09	2017-11-10		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-10	2017-11-10		1	1
156	2017-11-09	2017-11-12		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-12	2017-11-12		1	1
157	2017-11-09	2017-11-18		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-18	2017-11-18		1	1
158	2017-11-09	2017-11-14		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-14	2017-11-14		1	1
159	2017-11-10	2017-11-11		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-11	2017-11-11		1	1
160	2017-11-12	2017-11-16		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-16	2017-11-16		1	1
161	2017-11-12	2017-11-14		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-14	2017-11-14		1	1
162	2017-11-14	2017-11-17		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-17	2017-11-17		1	1
163	2017-11-21	2017-12-05		zaglushka	Заглушка	80620000000	Донецк	1	2017-12-05	2017-12-05		1	1
164	2017-11-27	2017-11-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-11-28	2017-11-28		1	1
165	2017-12-02	2017-12-07		zaglushka	Заглушка	80620000000	Донецк	1	2017-12-07	2017-12-07		1	1
166	2017-12-04	2017-12-04		zaglushka	Заглушка	80620000000	Донецк	1	2017-12-04	2017-12-04		1	1
167	2017-12-27	2017-12-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-12-28	2017-12-28		1	1
168	2017-12-27	2017-12-28		zaglushka	Заглушка	80620000000	Донецк	1	2017-12-28	2017-12-28		1	1
169	2017-12-25	2017-12-26		zaglushka	Заглушка	80620000000	Донецк	1	2017-12-26	2017-12-26		1	1
170	2018-01-09	2018-01-13		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-13	2018-01-13		1	1
171	2018-01-15	2018-01-16		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-16	2018-01-16		1	1
172	2018-01-11	2018-01-15		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-15	2018-01-15		1	1
173	2018-01-15	2018-01-17		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-17	2018-01-17		1	1
174	2018-01-16	2018-01-19		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-19	2018-01-19		1	1
175	2018-01-15	2018-01-17		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-17	2018-01-17		1	1
176	2018-01-16	2018-01-18		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-18	2018-01-18		1	1
177	2018-01-18	2018-01-19		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-19	2018-01-19		1	1
178	2018-01-19	2018-01-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-22	2018-01-22		1	1
179	2018-01-22	2018-01-23		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-23	2018-01-23		1	1
180	2018-01-24	2018-01-28		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-28	2018-01-28		1	1
181	2018-01-24	2018-01-28		zaglushka	Заглушка	80620000000	Донецк	1	2018-01-28	2018-01-28		1	1
182	2018-01-28	2018-02-01		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-01	2018-02-01		1	1
183	2018-01-29	2018-02-01		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-01	2018-02-01		1	1
184	2018-02-01	2018-02-04		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-04	2018-02-04		1	1
185	2018-02-07	2018-02-07		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-07	2018-02-07		1	1
186	2018-02-07	2018-02-09		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-09	2018-02-09		1	1
187	2018-02-10	2018-02-12		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-12	2018-02-12		1	1
188	2018-02-09	2018-02-12		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-12	2018-02-12		1	1
189	2018-02-08	2018-02-09		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-09	2018-02-09		1	1
190	2018-02-11	2018-02-14		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-14	2018-02-14		1	1
191	2018-02-13	2018-02-15		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-15	2018-02-15		1	1
192	2018-02-13	2018-02-16		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-16	2018-02-16		1	1
193	2018-02-16	2018-02-18		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-18	2018-02-18		1	1
194	2018-02-19	2018-02-20		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-20	2018-02-20		1	1
195	2018-02-19	2018-02-20		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-20	2018-02-20		1	1
196	2018-02-20	2018-02-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-22	2018-02-22		1	1
197	2018-02-20	2018-02-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-22	2018-02-22		1	1
198	2018-02-20	2018-02-23		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-23	2018-02-23		1	1
199	2018-02-25	2018-02-28		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-28	2018-02-28		1	1
200	2018-02-26	2018-02-27		zaglushka	Заглушка	80620000000	Донецк	1	2018-02-27	2018-02-27		1	1
201	2018-03-01	2018-03-03		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-03	2018-03-03		1	1
202	2018-03-02	2018-03-05		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-05	2018-03-05		1	1
203	2018-03-03	2018-03-06		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-06	2018-03-06		1	1
204	2018-03-05	2018-03-07		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-07	2018-03-07		1	1
205	2018-03-06	2018-03-09		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-09	2018-03-09		1	1
206	2018-03-12	2018-03-15		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-15	2018-03-15		1	1
207	2018-03-19	2018-03-24		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-24	2018-03-24		1	1
208	2018-03-19	2018-03-20		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-20	2018-03-20		1	1
209	2018-03-19	2018-03-25		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-25	2018-03-25		1	1
210	2018-03-20	2018-03-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-22	2018-03-22		1	1
211	2018-03-21	2018-03-25		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-25	2018-03-25		1	1
212	2018-03-21	2018-03-25		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-25	2018-03-25		1	1
213	2018-03-25	2018-03-28		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-28	2018-03-28		1	1
214	2018-03-26	2018-03-26		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-26	2018-03-26		1	1
215	2018-03-26	2018-03-29		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-29	2018-03-29		1	1
216	2018-03-28	2018-03-30		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-30	2018-03-30		1	1
217	2018-03-29	2018-03-30		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-30	2018-03-30		1	1
218	2018-03-29	2018-03-30		zaglushka	Заглушка	80620000000	Донецк	1	2018-03-30	2018-03-30		1	1
219	2018-04-10	2018-04-11		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-11	2018-04-11		1	1
220	2018-04-10	2018-04-12		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-12	2018-04-12		1	1
221	2018-04-10	2018-04-11		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-11	2018-04-11		1	1
222	2018-04-10	2018-04-12		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-12	2018-04-12		1	1
223	2018-04-10	2018-04-11		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-11	2018-04-11		1	1
224	2018-04-11	2018-04-13		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-13	2018-04-13		1	1
225	2018-04-12	2018-04-13		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-13	2018-04-13		1	1
226	2018-04-11	2018-04-13		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-13	2018-04-13		1	1
227	2018-04-12	2018-04-14		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-14	2018-04-14		1	1
228	2018-04-13	2018-04-14		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-14	2018-04-14		1	1
229	2018-04-14	2018-04-16		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-16	2018-04-16		1	1
230	2018-04-15	2018-04-16		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-16	2018-04-16		1	1
231	2018-04-17	2018-04-18		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-18	2018-04-18		1	1
232	2018-04-17	2018-04-18		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-18	2018-04-18		1	1
233	2018-04-17	2018-04-18		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-18	2018-04-18		1	1
234	2018-04-18	2018-04-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-22	2018-04-22		1	1
235	2018-04-18	2018-04-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-22	2018-04-22		1	1
236	2018-04-18	2018-04-22		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-22	2018-04-22		1	1
237	2018-04-19	2018-04-19		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-19	2018-04-19		1	1
238	2018-04-19	2018-04-21		zaglushka	Заглушка	80620000000	Донецк	1	2018-04-21	2018-04-21		1	1
